article_id,alternate_id,title,abstract,url,doi,language,year,page,is_published,alts,authors,journal,tags,publisher
1,0000I3SKQ1BEQMQH,Global Expression Profiling in Atopic Eczema Reveals Reciprocal Expression of Inflammatory and Lipid Genes,"<sec><title>Background</title><p>Atopic eczema (AE) is a common chronic inflammatory skin disorder. In order to dissect the genetic background several linkage and genetic association studies have been performed. Yet very little is known about specific genes involved in this complex skin disease, and the underlying molecular mechanisms are not fully understood.</p></sec><sec><title>Methodology/Findings</title><p>We used human DNA microarrays to identify a molecular picture of the programmed responses of the human genome to AE. The transcriptional program was analyzed in skin biopsy samples from lesional and patch-tested skin from AE patients sensitized to <italic>Malassezia sympodialis</italic> (<italic>M. sympodialis</italic>), and corresponding biopsies from healthy individuals. The most notable feature of the global gene-expression pattern observed in AE skin was a reciprocal expression of induced inflammatory genes and repressed lipid metabolism genes. The overall transcriptional response in <italic>M. sympodialis</italic> patch-tested AE skin was similar to the gene-expression signature identified in lesional AE skin. In the constellation of genes differentially expressed in AE skin compared to healthy control skin, we have identified several potential susceptibility genes that may play a critical role in the pathological condition of AE. Many of these genes, including genes with a role in immune responses, lipid homeostasis, and epidermal differentiation, are localized on chromosomal regions previously linked to AE.</p></sec><sec><title>Conclusions/Significance</title><p>Through genome-wide expression profiling, we were able to discover a distinct reciprocal expression pattern of induced inflammatory genes and repressed lipid metabolism genes in skin from AE patients. We found a significant enrichment of differentially expressed genes in AE with cytobands associated to the disease, and furthermore new chromosomal regions were found that could potentially guide future region-specific linkage mapping in AE. The full data set is available at <ext-link ext-link-type=""uri"" ns0:href=""http://microarray-pubs. stanford. edu/eczema"">http://microarray-pubs. stanford. edu/eczema</ext-link>.</p></sec>",http://www.ncbi.nlm.nih.gov/pmc/articles/pmc2603322/,10.1371/journal.pone.0004017,english,2008,1483-1494,1,,"Annika M. Sf,Maria Tengvall-Linder,Howard Y. Chang,Adam S. Adler,Carl-Fredrik Wahlgren,Annika Scheynius,Magnus Nordenskjld,Maria Bradley",PLoS ONE,,Public Library of Science (PLoS)
2,0000PETG7PJJ4NGV,From the sandwiched quantum relative Tsallis entropy to its conditional form: Separability criterion beyond local and global spectra,"The quantum relative Renyi entropy of two density matrices was recently extended when the two do not commute, from which a conditional entropy is identified. This is here extended to the corresponding Tsallis relative entropy and to its conditional form. This new expression of Tsallis conditional entropy is shown to witness entanglement beyond the method based on global and local spectra of composite quantum states. When the reduced density matrix happens to be a maximally mixed state, this conditional entropy coincides with the expression in terms of Tsallis entropies derived earlier by Abe and Rajagopal (Physica A 289, 157 (2001)). Separability range in one parameter family of W and GHZ states with 3 and 4 qubits is explored here and it is shown that the results inferred from negative Tsallis conditional entropy matches with that obtained through Peres partial transpose criteria for one-parameter family of W states, in one of its partitions. The criteria is shown to be non-spectral through its usefulness in identifying entanglement in isospectral density matrices.",http://arxiv.org/abs/1309.6944,10.1103/physreva.89.012331,[],2014,0,1,,"A. K. Rajagopal,Sudha,Anantha S. Nayak,A. R. Usha Devi",Physical Review A,Quantum Physics,American Physical Society (APS)
3,0003VG932CAWR1SH,Education of the dentist in Brazil: the contribution of studies to professional practice,"To comment and discuss academic production in Brazil with regard to the education of dentists in the period between 1992 and 2005. Thestudy was conducted through online data base searches, bibliographic surveys in renowned national periodicals and master’s dissertations. Data was collected from July to December 2005, and 13 studies on the subject were selected. It was shown that the majority of the studiesare concentrated in the Southern and Southeastern regions of Brazil. A change was noted in the education of dentists, which pointed out theneed for curricular alterations and teaching directed towards social needs, as well as the integration of teaching and service. From 1992 to 2005, there was a trend towards a predominantly technicist and curative education, transforming it into Dentistry directed largely towards the needs of the population, therefore assuming a more social nature with emphasis on health promotion. This social natureof Dentistry is perfectly suited to the Brazilian reality and it meets the demands of the Law of National Educational Guidelines and Bases/96 and the National Curricular Guidelines, as well as integrating dentists into the reality of the Family Health Program.",http://www.revistargo.com.br/include/getdoc.php?id=3201&article=91&mode=pdf,None,portuguese,0,0,1,,"Maria Eneide Leito de Almeida,Silvia Maria Nbrega-Therrien,Filomena Maria da Costa Pinheiro,Maria Irismar de Almeida",RGO : Revista Gacha de Odontologia,"Brasil,Brazil,dentistry,estudantes de odontologia,students dental",Mundi Brasil Grfica e Editora Ltda.
4,000418RAIP7Z5NP8,Essay on the gamma ray laser,"This work discusses the possibility of inducing the emission of gamma radiation from nuclear isomers by two-photon transitions, in the more general context of the problem of the amplification of gamma radiation.",http://arxiv.org/abs/nucl-ex/9907008,None,[],1999,0,0,,Silviu Olariu,None,Nuclear Experiment,None
5,0004DK30LD1KKKNU,Scalable boson-sampling with time-bin encoding using a loop-based architecture,"We present an architecture for arbitrarily scalable boson-sampling using two nested fiber loops. The architecture has fixed experimental complexity, irrespective of the size of the desired interferometer, whose scale is limited only by fiber and switch loss rates. The architecture employs time-bin encoding, whereby the incident photons form a pulse train, which enters the loops. Dynamically controlled loop coupling ratios allow the construction of the arbitrary linear optics interferometers required for boson-sampling. The architecture employs only a single point of interference and may thus be easier to stabilize than other approaches. The scheme has polynomial complexity and could be realized using demonstrated present-day technologies.",http://arxiv.org/abs/1403.4007,None,[],2014,0,0,,"Keith R. Motes,Alexei Gilchrist,Jonathan P. Dowling,Peter P. Rohde",None,Quantum Physics,None
6,0004LFSD3FPPX5TF,Surgical treatment of an aseptic fistulized acromioclavicular joint cyst: a case report and review of the literature,"<p>An acromioclavicular joint cyst is an uncommonly reported condition, which seems to result from a massive rotator cuff tear and degenerative osteoarthritis of the acromioclavicular joint. We present the case of an 81-year-old man affected by an acromioclavicular joint cyst, associated to a massive rotator cuff tear, proximal migration of the humeral head and osteoarthritis of the gleno-humeral joint. The mass was 7 × 2.5 cm in size and the overlying skin presented a fistula that drained clear synovial-like fluid. Plain X-ray examination of the left shoulder showed proximal migration of the humeral head migration and osteoarthritis of the gleno-humeral joint, and further MRI evaluation confirmed the clinical diagnosis of a complete rotator cuff tear and observed a large subcutaneous cyst in communication with the degenerative acromioclavicular joint. The patient underwent surgical excision of the cyst and lateral resection of the clavicle to prevent disease recurrence. To the best of our knowledge, this is the first reported case of an acromioclavicular joint cyst complicated by an aseptic fistula resulting from multiple aspirations.</p>",http://www.ncbi.nlm.nih.gov/pmc/articles/pmc2769433/,10.4076/1757-1626-2-8388,[],2009,213-215,1,,"Luigi Murena,Fabio D'angelo,Daniele A. Falvo,Ettore Vulcano",Cases Journal,,Springer Science + Business Media
7,0004XC2FDJY92K66,Feasibility of aortic valve assessment with low dose prospectively triggered adaptive systolic (PTAS) cardiac computed tomography angiography,"<sec><title>Background</title><p>Cardiac computed tomography angiography (CTA) is feasible for aortic valve evaluation, but retrospective gated protocols required high radiation doses for aortic valve assessment. A prospectively triggered adaptive systolic (PTAS) cardiac CT protocol was recently described in arrhythmia using second-generation dual-source CT. In this study, we sought to evaluate the feasibility of PTAS CTA to assess the aortic valve at a low radiation dose.</p></sec><sec><title>Findings</title><p>A retrospective cohort of 29 consecutive patients whom underwent PTAS protocols for clinical indications other than aortic valve assessment and whom also received echocardiography within 2 months of CT, was identified. Images were reviewed for aortic valve morphology (tricuspid/bicuspid/prosthetic) and stenosis (AS) by experienced blinded readers. Accuracy versus echocardiography and radiation doses were assessed.</p><p>All PTAS coronary CTAs were clinically diagnostic with 0 un-evaluable coronary segments. The accuracy of PTAS for aortic valve morphology was 92.6%, and for exclusion of severe AS was 93.1%. Two exams were un-evaluable for the aortic valve due to inadequate number of phases archived for interpretation. Total radiation dose was a median of 2.8 mSv (interquartile range 1.4–4.4 mSv).</p></sec><sec><title>Conclusions</title><p>PTAS CTA protocols using second-generation dual-source CT for aortic valve evaluation are feasible at low doses. This protocol should be investigated further in larger cohorts.</p></sec>",http://www.ncbi.nlm.nih.gov/pmc/articles/pmc3640955/,10.1186/1756-0500-6-158,english,2013,158-158,1,,"Ashley M. Lee,Jonathan Beaudoin,Wai-Ee Thai,Bryan Wai,Gladwin C. Hui,Manavjot S. Sidhu,Leif-Christopher Engel,Suhny Abbara,Udo Hoffmann,Brian B. Ghoshhajra",BMC Research Notes,"Aortic stenosis,Computed tomography angiography,Low dose",BioMed Central
8,00059PP9VIC1FJ4R,Involvement of an SCFSlmb complex in timely elimination of E2F upon initiation of DNA replication in Drosophila,"<sec><title>Background</title><p>Cul1 is a core component of the evolutionarily conserved SCF-type ubiquitin ligases that target specific proteins for destruction. SCF action contributes to cell cycle progression but few of the key targets of its action have been identified.</p></sec><sec><title>Results</title><p>We found that expression of the mouse Cul1 (mCul1) in the larval wing disc has a dominant negative effect. It reduces, but does not eliminate, the function of SCF complexes, promotes accumulation of Cubitus interruptus (a target of SCF action), triggers apoptosis, and causes a small wing phenotype. A screen for mutations that dominantly modify this phenotype showed effective suppression upon reduction of E 2 F function, suggesting that compromised downregulation of E 2 F contributes to the phenotype. Partial inactivation of Cul1 delayed the abrupt loss of E 2 F immunofluorescence beyond its normal point of downregulation at the onset of S phase. Additional screens showed that mild reduction in function of the F-box encoding gene <italic>slimb </italic>enhanced the mCul1 overexpression phenotype. Cell cycle modulation of E 2 F levels is virtually absent in <italic>slimb </italic>mutant cells in which <italic>slimb </italic>function is severely reduced. This implicates Slimb, a known targeting subunit of SCF, in E 2 F downregulation. In addition, Slimb and E 2 F interacted <italic>in vitro </italic>in a phosphorylation-dependent manner.</p></sec><sec><title>Conclusion</title><p>We have used genetic and physical interactions to identify the G 1/S transcription factor E 2 F as an SCF<sup>Slmb </sup>target in <italic>Drosophila</italic>. These results argue that the SCF<sup>Slmb </sup>ubiquitin ligase directs E 2 F destruction in S phase.</p></sec>",http://www.ncbi.nlm.nih.gov/pmc/articles/pmc161817/,10.1186/1471-2156-4-9,english,2003,9-9,1,,"Jean-Karim Hrich,Dan Ang,Ethan Bier,Patrick H. O'Farrell",BMC Genetics,,BioMed Central
9,0005XVZEZ0YZIOTH,Algebraic polynomials with random coefficients,"This paper provides an asymptotic value for the mathematical expected number of points of inflections of a random polynomial of the form a0(ω)+a1(ω)(n1)1/2x+a2(ω)(n2)1/2x2+…an(ω)(nn)1/2xn when n is large. The coefficients {aj(w)}j=0n, w∈Ω are assumed to be a sequence of independent normally distributed random variables with means zero and variance one, each defined on a fixed probability space (A, Ω,Pr). A special case of dependent coefficients is also studied.",http://downloads.hindawi.com/journals/ijsa/2002/463458.pdf,10.1155/s1048953302000084,english,2002,83-88,1,,K. Farahmand,Journal of Applied Mathematics and Stochastic Analysis,"Kac-Rice formula,number of real roots,points of inflection,random algebraic polynomials,random variables",Hindawi Publishing Corporation
10,00061VYTXE877TYI,"Inflation, neutrino baryogenesis, and (s)neutrino-induced baryogenesis","We evaluate the constraints that the COBE observations put on baryogenesis in inflationary cosmologies. We consider the supersymmetric version of the proposal of Fukugita and Yanagida, that the baryon asymmetry of the universe is created by nonperturbative electroweak reprocessing of a lepton asymmetry generated in the decay of heavy right-handed see-saw (s)neutrinos. We review our recent proposal of a mechanism for baryogenesis via sphaleron reprocessing of a lepton asymmetry generated by (s)neutrino mass effects on flat direction scalar condensate oscillations. Finally we analyze in detail the implementation of these mechanisms in the recently proposed ansatze for fermion mass matrices in supersymmetric, unified, theories.",http://arxiv.org/abs/hep-ph/9302223,10.1016/0550-3213(93)90619-z,[],1993,111-136,1,,"Bruce A. Campbell,Sacha Davidson,Keith A. Olive",Nuclear Physics B,High Energy Physics - Phenomenology,Elsevier BV
